playerName,owner,position
Lamar Jackson,Taylor,QB
Joe Burrow,Jace,QB
Sam Darnold,Calvin,QB
Jared Goff,Cody,QB
Baker Mayfield,Rustin,QB
Jayden Daniels,Hunter,QB
Kyler Murray,Roger,QB
Bo Nix,Calvin,QB
Michael Penix Jr.,Hunter,QB
Caleb Williams,Cody,QB
Josh Allen,Chris,QB
Patrick Mahomes,Rustin,QB
Kirk Cousins,Jace,QB
Jalen Hurts,Hunter,QB
Ja'Marr Chase,Chris,WR
Justin Jefferson,Cody,WR
Mike Evans,Hunter,WR
Amon-Ra St. Brown,Roger,WR
Ladd McConkey,Rustin,WR
Drake London,Calvin,WR
Jauan Jennings,Hunter,WR
Malik Nabers,Taylor,WR
Tee Higgins,Roger,WR
Brian Thomas Jr.,Roger,WR
George Pickens,Hunter,WR
Courtland Sutton,Cody,WR
Davante Adams,Jace,WR
Josh Downs,Taylor,WR
Jaxon Smith-Njigba,Taylor,WR
Jordan Addison,Jace,WR
Terry McLaurin,Chris,WR
Adam Thielen,Rustin,WR
Garrett Wilson,Cody,WR
Jameson Williams,Cody,WR
Jakobi Meyers,Chris,WR
Ray-Ray McCloud III,Jace,WR
DJ Moore,Jace,WR
Zay Flowers,Hunter,WR
Tyreek Hill,Rustin,WR
DK Metcalf,Jace,WR
Keenan Allen,Chris,WR
Calvin Ridley,Chris,WR
Jerry Jeudy,Cody,WR
Jalen McMillan,Roger,WR
Marvin Harrison Jr.,Rustin,WR
Jayden Reed,Roger,WR
Nico Collins,Calvin,WR
Rome Odunze,Chris,WR
Nick Westbrook-Ikhine,Cody,WR
Keon Coleman,Rustin,WR
Xavier Worthy,Calvin,WR
M. Valdes-Scantling,Cody,WR
DeAndre Hopkins,Hunter,WR
Greg Dortch,Calvin,WR
Tyler Lockett,Calvin,WR
Khalil Shakir,Rustin,WR
Puka Nacua,Rustin,WR
A.J. Brown,Hunter,WR
Deebo Samuel,Jace,WR
Darnell Mooney,Jace,WR
CeeDee Lamb,Calvin,WR
Stefon Diggs,Rustin,WR
Cooper Kupp,Taylor,WR
Amari Cooper,Calvin,WR
Chris Godwin,Rustin,WR
Tank Dell,Cody,WR
Rashee Rice,Chris,WR
DeVonta Smith,Chris,WR
Chris Olave,Chris,WR
Jahmyr Gibbs,Chris,RB
Bijan Robinson,Jace,RB
Bucky Irving,Chris,RB
Derrick Henry,Calvin,RB
Jonathan Taylor,Roger,RB
De'Von Achane,Jace,RB
Aaron Jones Sr.,Jace,RB
Rico Dowdle,Rustin,RB
Josh Jacobs,Cody,RB
Tyrone Tracy Jr.,Rustin,RB
J.K. Dobbins,Hunter,RB
Alexander Mattison,Jace,RB
Tank Bigsby,Taylor,RB
D'Andre Swift,Cody,RB
Joe Mixon,Calvin,RB
Travis Etienne Jr.,Cody,RB
Brian Robinson Jr.,Jace,RB
Austin Ekeler,Chris,RB
Rachaad White,Rustin,RB
Rhamondre Stevenson,Rustin,RB
James Cook,Roger,RB
Tyler Allgeier,Cody,RB
Javonte Williams,Calvin,RB
Cam Akers,Jace,RB
Kenneth Gainwell,Hunter,RB
Isaiah Davis,Chris,RB
Patrick Taylor Jr.,Taylor,RB
Chase Brown,Chris,RB
Trey Benson,Chris,RB
Tyjae Spears,Calvin,RB
Travis Homer,Cody,RB
Zack Moss,Calvin,RB
Alvin Kamara,Hunter,RB
James Conner,Calvin,RB
Saquon Barkley,Hunter,RB
Kendre Miller,Hunter,RB
Isiah Pacheco,Rustin,RB
Jerome Ford,Calvin,RB
Kyren Williams,Hunter,RB
Chuba Hubbard,Rustin,RB
Brock Bowers,Cody,TE
Trey McBride,Roger,TE
Sam LaPorta,Hunter,TE
George Kittle,Chris,TE
Jonnu Smith,Taylor,TE
T.J. Hockenson,Hunter,TE
Mark Andrews,Rustin,TE
Zach Ertz,Calvin,TE
Tucker Kraft,Calvin,TE
Noah Gray,Jace,TE
Dalton Kincaid,Rustin,TE
Dallas Goedert,Calvin,TE
Travis Kelce,Jace,TE
Evan Engram,Rustin,TE
David Njoku,Hunter,TE
Taysom Hill,Hunter,TE
